canonical_id,canonical_name,merged_id,merged_name,confidence,type
PC38E508,川崎正蔵,P2212D3A,川崎正蔵,1.0,exact
P8170CE3,ビリー・ワイルダー,PF77887A,ビリー・ワイルダー,1.0,exact
P20DA2D9,北条泰時,PADB53AA,北条泰時,1.0,exact
PD956418,田知本遥,P69797F1,田知本遥,1.0,exact
PAC7E5E6,レッド・ホット・チリ・ペッパーズ,P8780F1B,レッド・ホット・チリ・ペッパーズ,1.0,exact
P7D828CD,マイケル・クライトン,P1D58B4A,マイケル・クライトン,1.0,exact
P96B92F2,フランシス・コリンズ,P95F408A,フランシス・コリンズ,1.0,exact
P88BA38E,カタリン・カリコ,P40575D6,カタリン・カリコ,1.0,exact
PFA09391,リチャード・ドーキンス,PF113264,リチャード・ドーキンス,1.0,exact
P81B8144,世阿弥,PFF71A42,世阿弥,1.0,exact
P4941C66,マリア・カラス,P31BC7EE,マリア・カラス,1.0,exact
P910541C,マヤ・アンジェロウ,PAB0FE41,マヤ・アンジェロウ,1.0,exact
P85A40D5,フラナリー・オコナー,P7A52998,フラナリー・オコナー,1.0,exact
PC60B02B,グレース・ケリー,PA7BC266,グレース・ケリー,1.0,exact
PE61768B,エリザベス・テイラー,PB6CC3B9,エリザベス・テイラー,1.0,exact
P6812714,ジョン・フォード,P4D08E70,ジョン・フォード,1.0,exact
PD0C2D4D,レイチェル・カーソン,PFDE3B22,レイチェル・カーソン,1.0,exact
PA3E9948,ベン・アフレック,P611BC2D,ベン・アフレック,1.0,exact
PDFAA815,アダム・サンドラー,P06F705A,アダム・サンドラー,1.0,exact
P5BE5350,エディ・マーフィー,PF3AE631,エディ・マーフィー,1.0,exact
P96E42C7,マイク・マイヤーズ,P39C84B9,マイク・マイヤーズ,1.0,exact
PE28DD02,ベン・スティラー,PC8EFADD,ベン・スティラー,1.0,exact
P9E245B3,ジャネット・ジャクソン,P92514C4,ジャネット・ジャクソン,1.0,exact
P569EDC7,真島ヒロ,PFD3471A,真島ヒロ,1.0,exact
PD1B48C5,エルヴィン・シュレーディンガー,P6FEF6EA,エルヴィン・シュレーディンガー,1.0,exact
P1B10796,アントワーヌ・ラヴォアジエ,PCDA6598,アントワーヌ・ラヴォアジエ,1.0,exact
PF5CF4A2,レイチェル・マクアダムス,P27F3D53,レイチェル・マクアダムス,1.0,exact
P006A642,ビル・マーレイ,PDA76491,ビル・マーレイ,1.0,exact
P29B35AD,オクタビオ・パス,P0717EEF,オクタビオ・パス,1.0,exact
PFDB5E8B,イングヴァル・カンプラード,PFFC2B43,イングヴァル・カンプラード,1.0,exact
P28165F7,滝崎武光,PE7E2F23,滝崎武光,1.0,exact
P763B855,滝廉太郎,P50FF3CE,滝廉太郎,1.0,exact
P11CB4CA,スティーブン・ピンカー,PEAB6E25,スティーブン・ピンカー,1.0,exact
PCA3BA90,エドワード・サイード,PBDD8AD4,エドワード・サイード,1.0,exact
P6EC1FF3,ヴェルナー・ハイゼンベルク,PA31342C,ヴェルナー・ハイゼンベルク,1.0,exact
P38D9999,エンリコ・フェルミ,PA6C915E,エンリコ・フェルミ,1.0,exact
P7E65AD9,ニール・ゲイマン,P500B48B,ニール・ゲイマン,1.0,exact
P97F3D64,ジェームズ・ディーン,P05E5B02,ジェームズ・ディーン,1.0,exact
PEACEF35,ケーリー・グラント,P0B18FD1,ケーリー・グラント,1.0,exact
P48EA2A5,ハンフリー・ボガート,P83EB10E,ハンフリー・ボガート,1.0,exact
PBCFE1C9,アイザック・アシモフ,P60EE1CA,アイザック・アシモフ,1.0,exact
P4BB7353,マーガレット・ミッチェル,PFDEB331,マーガレット・ミッチェル,1.0,exact
P4DF6135,ハーパー・リー,P5638CA3,ハーパー・リー,1.0,exact
P14914BA,ジャック・ケルアック,PA0854D2,ジャック・ケルアック,1.0,exact
PB0FFFB9,アーサー・ミラー,PEDAD5A5,アーサー・ミラー,1.0,exact
PE19F379,ジャック・ロンドン,PECA9F41,ジャック・ロンドン,1.0,exact
P8D1D913,キャサリン・ジョンソン,P5BAB360,キャサリン・ジョンソン,1.0,exact
P1EF680A,池坊専永,P63F4465,池坊専永,1.0,exact
P8047D85,バレンティーノ・ロッシ,PB2626E7,バレンティーノ・ロッシ,1.0,exact
PF370745,フリーマン・ダイソン,P90AC188,フリーマン・ダイソン,1.0,exact
P5CAB8FF,スティーブン・ジェイ・グールド,P990E7F4,スティーブン・ジェイ・グールド,1.0,exact
P78B8200,ロバート・ダウニー・Jr,PD38615B,ロバート・ダウニー・Jr,1.0,exact
P5BBB283,ジュリー・アンドリュース,P8DBCEE1,ジュリー・アンドリュース,1.0,exact
PB77E1C9,飯田亮,P980C91B,飯田亮,1.0,exact
P016E983,ショーン・コネリー,PC31736A,ショーン・コネリー,1.0,exact
PCE8586E,スティーブ・マーティン,PEEBA273,スティーブ・マーティン,1.0,exact
P07B83A4,千住明,P7AE2A69,千住明,1.0,exact
PB0054BD,池田満寿夫,P7856819,池田満寿夫,1.0,exact
PEA0D029,上村松園,P6D494CD,上村松園,1.0,exact
P6E7AB73,アントン・チェーホフ,P9C0D8C6,アントン・チェーホフ,1.0,exact
P9440C74,大塚正士,P0B83B3A,大塚正士,1.0,exact
P628283C,長瀬富郎,P9E50C61,長瀬富郎,1.0,exact
P49FD883,田中則雄,PB22581E,田中則雄,1.0,exact
P0CBDA41,フレッド・ターナー,PD6A6C9E,フレッド・ターナー,1.0,exact
PF1AFFC9,マティアス・カンプラード,P649274F,マティアス・カンプラード,1.0,exact
PB16D15A,マルタ・オルテガ,P779C915,マルタ・オルテガ,1.0,exact
P5371601,アントワーヌ・アルノー,P1702F6B,アントワーヌ・アルノー,1.0,exact
P835309D,マイク・ニコルズ,P4FDA49F,マイク・ニコルズ,1.0,exact
P95F2616,ピアース・ブロスナン,P2F36839,ピアース・ブロスナン,1.0,exact
P6CBC697,パトリシア・ハイスミス,PE0594CB,パトリシア・ハイスミス,1.0,exact
